url	industry	subIndustry
http://www.dmartindia.com/	Retail, E-Commerce	Apparel Stores, Grocery Stores, Footwear Stores, Personal Care
http://www.metroshoes.net/	Retail, E-Commerce, Leather , Accessories	Footwear Stores
http://www.jockeyindia.com/	Retail, Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories, Readymade Garments, Apparel Stores
http://pcjeweller.com/	Gems , Jewellery , Watches, Retail, E-Commerce	Gems , Jewellery, Jewellery , Watches
http://	Exporters , Importers, Retail, E-Commerce	Exporters , Importers , Commodity Traders, Apparel Stores
http://www.montecarlocorporate.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.forevernew.co.in/	Retail, E-Commerce	Apparel Stores
http://www.pepejeans.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://in.puma.com/	Retail, E-Commerce	Footwear Stores, Sports , Games , Entertainment Outlets
http://www.veromoda.in/	Retail, E-Commerce	Apparel Stores
http://www.zivame.com/	Retail, E-Commerce	Apparel Stores
http://www.truesilver.co.in/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://ajio.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.baggit.com/	Retail, E-Commerce, Leather , Accessories	Leather & Accessories
http://www.bellacasa.in/	Retail, Garment , Textile, E-Commerce	Furnishings, Apparel Stores
http://www.beltkart.com/	E-Commerce, Leather , Accessories	
http://www.bijnis.com/	E-Commerce, Leather , Accessories	
http://www.bluestone.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://velvetcase.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.tailorman.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.caratlane.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.chhabra555.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://chunmun.in/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.classicpolos.com/	Retail, E-Commerce	Apparel Stores
http://www.safegold.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.dukeindia.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.meesho.com/	Garment , Textile, E-Commerce	Readymade Garments
http://globusfashion.com/	Retail, Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories, Readymade Garments, Apparel Stores
http://www.gocolors.co.in/	Retail, E-Commerce	Apparel Stores
http://www.goodearth.in/	Retail, E-Commerce	Apparel Stores, Gift & Decorative Items, Furniture , Furnishing , Sanitary Outlets
http://www.hidesign.com/	E-Commerce, Leather , Accessories	
http://www.anitadongre.com/	Garment , Textile, E-Commerce	Fashion Designers
http://iconicindia.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.jinaam.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://karlsburg.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.kalanjali.com/	Retail, Garment , Textile, E-Commerce	Handlooms , Handicrafts , Earthenware, Apparel Stores
http://www.kapsons.com/	Retail, E-Commerce	Apparel Stores
http://www.lakshitaonline.com/	Garment , Textile, E-Commerce	Readymade Garments
http://kilol.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.leathermanfashion.com/	E-Commerce, Leather , Accessories	
http://www.cottonworld.net/	Retail, E-Commerce	Apparel Stores
http://www.manishmalhotra.in/	Retail, Garment , Textile, E-Commerce	Fashion Designers, Apparel Stores
http://www.meenabazaar.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.moustachejeans.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.nalli.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.chennaibazaar.com/	Gems , Jewellery , Watches, Garment , Textile, E-Commerce	Readymade Garments, Gems , Jewellery
http://www.numerounojeanswear.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.ovjjewels.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.shopnaari.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.ramrajcotton.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.ritukumar.com/	Retail, Garment , Textile, E-Commerce	Fashion Designers, Apparel Stores
http://www.rkgroup.biz/	BFSI , Fintech, Courier , Logistics , Supply Chain , Packaging , Transport, Exporters , Importers, Garment , Textile, E-Commerce	Financial Services , Financial Advisor, Courier , Logistics , Warehouse , Transport, Yarn , Fibre , Thread , Textile , Accessories, Exporters , Importers , Commodity Traders
http://shreeshivam.in/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Apparel Stores
http://www.laxmipati.com/	Garment , Textile, E-Commerce	Readymade Garments
http://soch.com/	Retail, E-Commerce	Apparel Stores
