url	industry	subIndustry
http://www.amway.in/	Consumer Durables, Home Appliances, E-Commerce, Cosmetic , Beauty & Wellness	Consumer Goods
http://www.bribooks.com/	E-Commerce, Paper , Publishing , Printing	Publication Houses
http://adityavision.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.banaas.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.bathla.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.bellacasa.in/	Retail, Garment , Textile, E-Commerce	Furnishings, Apparel Stores
http://bismigroup.com/	Consumer Durables, Home Appliances, Food , FMCG, E-Commerce	Repair , Service Centre, Dairy Products, Consumer Goods
http://www.bpiindia.com/	E-Commerce, Paper , Publishing , Printing	Publication Houses
http://www.lotuselectronics.com/	Consumer Durables, Home Appliances, Information Technology (IT) , Data Analytics , AI , Robotics , IOT, E-Commerce	IT- Hardware, Consumer Goods
http://www.currimbhoys.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.goodearth.in/	Retail, E-Commerce	Apparel Stores, Gift & Decorative Items, Furniture , Furnishing , Sanitary Outlets
http://homeedge.co.in/	Wood , Plastic  Furniture , Fixtures , Fittings, E-Commerce	
http://www.ibdwebstore.com/	E-Commerce, Paper , Publishing , Printing	Publication Houses
http://www.jagdambaflatware.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.libramattres.com/	Garment , Textile, E-Commerce	Furnishings
http://www.mmfoam.in/	Garment , Textile, E-Commerce	Furnishings
http://nayasa.com/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
http://www.harshaindia.com/	Consumer Durables, Home Appliances, Electrical , Electronics , Batteries, E-Commerce	Consumer Goods, Electrical , Electronics
http://www.rkgroup.biz/	BFSI , Fintech, Courier , Logistics , Supply Chain , Packaging , Transport, Exporters , Importers, Garment , Textile, E-Commerce	Financial Services , Financial Advisor, Courier , Logistics , Warehouse , Transport, Yarn , Fibre , Thread , Textile , Accessories, Exporters , Importers , Commodity Traders
http://www.somashop.com/	Retail, Garment , Textile, E-Commerce	Readymade Garments, Furnishings, Furniture , Furnishing , Sanitary Outlets
http://sonovision.in/	Consumer Durables, Home Appliances, E-Commerce	Consumer Goods
